region,latitude,longitude,crime_type,severity,hour,is_night,weather,is_weekend,safety_score,is_safe
Downtown,40.73421658432217,-74.00694621001898,Verbal Abuse,2,16,0,Clear,1,53.02193573446044,1
Downtown,40.706991218659766,-74.01125169807179,Robbery,3,13,0,Rain,0,55.711718999660675,1
Downtown,40.70852207086397,-74.01131817410219,Robbery,3,14,0,Rain,0,65.22221826611982,1
Downtown,40.71347528204688,-74.02024748186213,Eve Teasing,2,10,0,Clear,1,63.8252449822865,1
Downtown,40.712501614306404,-74.00504874215683,Indecent Exposure,4,12,0,Fog,0,62.066008536413385,1
Downtown,40.70258447805325,-74.00761755386398,Assault,5,9,0,Clear,0,71.64654342749851,1
Downtown,40.70575546549624,-74.01977939303822,Robbery,3,18,1,Clear,0,70.66112826781041,1
Downtown,40.720184665799955,-74.0042863171881,Eve Teasing,2,8,0,Snow,1,61.468833479929316,1
Downtown,40.71939190598429,-73.98259253665897,Indecent Exposure,4,13,0,Clear,1,69.73193249460023,1
Downtown,40.71862122794713,-73.99712251540407,Harassment,3,9,0,Clear,0,75.7098518701737,1
Downtown,40.71521122162587,-74.00768205088099,Stalking,4,16,0,Rain,1,71.62284513619062,1
Downtown,40.72092525822394,-73.9924375997143,Harassment,3,3,1,Clear,0,76.64768645504523,1
Downtown,40.72016122350669,-74.0137970188066,Stalking,4,13,0,Clear,1,69.67794753263152,1
Downtown,40.69861249541409,-73.99557508382661,Stalking,4,12,0,Clear,0,56.561036396560745,1
Downtown,40.71470336984965,-74.00464246170523,Indecent Exposure,4,15,0,Clear,0,50.81403536984442,1
Downtown,40.72195402117702,-74.0027124889034,Stalking,4,8,0,Fog,1,71.08089662000961,1
Downtown,40.709202218547084,-73.99875916748474,Eve Teasing,2,8,0,Clear,1,57.259570692534965,1
Downtown,40.68624823952437,-74.00254482056111,Harassment,3,8,0,Clear,1,62.44235363041058,1
Downtown,40.707101716516014,-74.02691599669687,Robbery,3,15,0,Clear,0,60.16877321248707,1
Downtown,40.69361228784701,-74.00626513875449,Sexual Assault,8,23,1,Snow,0,77.63740530766387,1
Downtown,40.71195834914819,-73.99362983927064,Harassment,3,23,1,Clear,1,60.58233976773987,1
Downtown,40.720472968387064,-74.01749792577495,Sexual Assault,8,7,0,Clear,1,50.735211152744476,1
Downtown,40.71258119125661,-73.99381949562243,Stalking,4,10,0,Clear,1,68.5615983038938,1
Downtown,40.71379651365088,-74.01103475654116,Indecent Exposure,4,18,1,Clear,0,61.10541975696518,1
Downtown,40.710100662309245,-74.0074346222963,Stalking,4,8,0,Rain,1,57.797020071411865,1
Downtown,40.70923254974232,-74.00043878201465,Verbal Abuse,2,21,1,Clear,0,71.1700377571513,1
Downtown,40.717815963653464,-74.0074694539292,Eve Teasing,2,8,0,Snow,0,65.62824599733183,1
Downtown,40.71530492850346,-74.00253551790503,Harassment,3,10,0,Rain,1,66.8062297374022,1
Downtown,40.73068593857326,-74.00033105929212,Indecent Exposure,4,18,1,Fog,1,73.53997786494901,1
Downtown,40.72329347392321,-73.99274894338485,Harassment,3,0,1,Clear,0,63.35499565838096,1
Downtown,40.701675026456705,-73.99732770501024,Harassment,3,8,0,Clear,0,60.37473139798248,1
Downtown,40.70390485570375,-74.01415810284965,Indecent Exposure,4,13,0,Clear,0,74.58413836213299,1
Downtown,40.70432642471887,-73.9923556655268,Sexual Assault,8,23,1,Clear,1,45.636237900154,0
Downtown,40.7132198006447,-74.00737271817098,Harassment,3,8,0,Rain,0,76.720289038044,1
Downtown,40.717865753016724,-74.00727604794281,Harassment,3,23,1,Clear,0,68.27223386365866,1
Downtown,40.70433206281932,-74.02114847224686,Sexual Assault,8,22,1,Snow,1,68.41590805948717,1
Downtown,40.709445889759294,-73.99964887449099,Verbal Abuse,2,9,0,Clear,0,75.96329789541089,1
Downtown,40.72152447157661,-73.99533801455902,Verbal Abuse,2,7,0,Clear,1,54.197991299595145,1
Downtown,40.707695067804224,-74.01332951135043,Stalking,4,15,0,Clear,0,49.485660559093475,0
Downtown,40.722340017634934,-73.99948608748694,Verbal Abuse,2,12,0,Rain,0,66.95346472546973,1
Downtown,40.706041952657785,-74.01513412537322,Eve Teasing,2,20,1,Clear,0,83.89547656126584,1
Downtown,40.70386879726371,-74.00934817247395,Sexual Assault,8,9,0,Clear,0,60.44966826012434,1
Downtown,40.71128764034508,-74.00974521559091,Harassment,3,18,1,Clear,1,77.10398633136639,1
Downtown,40.692548574133426,-74.00413545685231,Stalking,4,14,0,Rain,1,52.08783886863817,1
Downtown,40.70701723086036,-74.00735717382318,Harassment,3,11,0,Clear,1,57.67307798696156,1
Downtown,40.71597767032437,-74.02212227307174,Eve Teasing,2,11,0,Clear,0,57.06494982327389,1
Downtown,40.715068488219806,-73.98944538374622,Indecent Exposure,4,8,0,Fog,0,86.34641248007408,1
Downtown,40.717238194281464,-73.9982536594657,Stalking,4,9,0,Clear,1,60.37074577936352,1
Downtown,40.691862059959654,-74.01020047464628,Eve Teasing,2,0,1,Rain,1,60.18751866176494,1
Downtown,40.71338508902307,-73.98252003071549,Sexual Assault,8,14,0,Clear,0,66.39204110956817,1
Downtown,40.72206232542885,-73.99992161459666,Harassment,3,13,0,Rain,0,68.44068131402022,1
Downtown,40.711282149049644,-74.00011682793516,Stalking,4,14,0,Clear,0,75.32512792827882,1
Downtown,40.70012617698488,-74.00489700421366,Harassment,3,14,0,Clear,0,59.54962384652909,1
Downtown,40.70657762835094,-74.00955488640916,Verbal Abuse,2,3,1,Clear,1,60.69974614150084,1
Downtown,40.71201268316332,-74.02816761054483,Robbery,3,10,0,Fog,0,69.48648674052005,1
Downtown,40.72557664895788,-74.01191571388836,Indecent Exposure,4,17,0,Snow,0,78.89566338614964,1
Downtown,40.72137864658789,-74.01226857869538,Indecent Exposure,4,19,1,Clear,0,76.44371535474684,1
Downtown,40.710407752021304,-73.99746025288933,Harassment,3,12,0,Fog,0,51.579926959466434,1
Downtown,40.71547636014163,-74.0194231282651,Eve Teasing,2,22,1,Fog,0,66.0356808444235,1
Downtown,40.724381108735,-73.99808337306037,Indecent Exposure,4,11,0,Clear,0,31.359044735366894,0
Downtown,40.71684582895118,-74.00509927413019,Verbal Abuse,2,16,0,Clear,1,83.13666575878908,1
Downtown,40.718391092026145,-73.9972745840857,Sexual Assault,8,4,1,Rain,0,65.8273043580048,1
Downtown,40.71092775043651,-74.02343285247211,Robbery,3,12,0,Clear,0,67.89882811537126,1
Downtown,40.72137659623202,-74.00759938529963,Eve Teasing,2,4,1,Rain,0,75.6947795204087,1
Downtown,40.71751641954448,-73.99952441890986,Verbal Abuse,2,11,0,Clear,0,80.9015771901085,1
Downtown,40.69834390027528,-74.01444136913518,Verbal Abuse,2,15,0,Clear,1,70.36026534904857,1
Downtown,40.71669179576145,-74.00867400637884,Indecent Exposure,4,12,0,Clear,1,65.45607839925594,1
Downtown,40.713045101742594,-74.00102001708754,Robbery,3,23,1,Clear,0,63.96158882570001,1
Downtown,40.72805829957251,-74.00233090582903,Harassment,3,8,0,Clear,1,56.02763668638694,1
Downtown,40.69827150540928,-73.99815993589085,Assault,5,22,1,Fog,0,67.09496862632359,1
Downtown,40.699421551761915,-74.00923372799004,Eve Teasing,2,14,0,Clear,0,57.01764781968467,1
Downtown,40.70381585328652,-74.00108080828494,Verbal Abuse,2,12,0,Clear,1,48.39882579443667,0
Downtown,40.71431079962153,-74.0183173076751,Sexual Assault,8,3,1,Fog,0,72.80275164420001,1
Downtown,40.715754775244235,-74.01697345868567,Indecent Exposure,4,10,0,Fog,1,66.89584920160588,1
Downtown,40.70795624308031,-73.98961140013625,Verbal Abuse,2,11,0,Fog,0,67.1868309227614,1
Downtown,40.70829934528521,-73.99977150067653,Stalking,4,13,0,Rain,1,67.25235352805603,1
Downtown,40.71022097835456,-74.04078169213636,Sexual Assault,8,8,0,Clear,0,68.33173294839824,1
Downtown,40.72306579846552,-74.00433911867492,Stalking,4,12,0,Fog,0,62.31736938050487,1
Downtown,40.72492815073683,-74.00396886452053,Harassment,3,13,0,Clear,0,70.93742175841211,1
Downtown,40.710105931655555,-73.99882457744204,Assault,5,13,0,Clear,0,65.49572729299405,1
Downtown,40.715076023209306,-74.00794670261878,Sexual Assault,8,11,0,Fog,0,84.05907236926994,1
Downtown,40.71273800860326,-74.00196880672914,Harassment,3,12,0,Clear,0,79.19672977543745,1
Downtown,40.7331214252596,-74.023641268993,Robbery,3,8,0,Clear,0,43.25117497346903,0
Downtown,40.71217320902727,-73.99644857679499,Indecent Exposure,4,14,0,Clear,0,79.99888675675197,1
Downtown,40.72325312793008,-74.0083585980815,Robbery,3,23,1,Rain,0,59.96762514334252,1
Downtown,40.71337474003025,-74.0288280249004,Sexual Assault,8,6,0,Clear,0,64.23236090971668,1
Downtown,40.732534608916026,-74.00979057646182,Robbery,3,10,0,Clear,0,66.2250549833952,1
Downtown,40.7074949885239,-74.01175818240645,Harassment,3,9,0,Fog,1,54.40420853783351,1
Downtown,40.71532479788344,-74.00199781029593,Verbal Abuse,2,21,1,Clear,1,82.80729438145222,1
Downtown,40.728037874101936,-74.03056747056864,Verbal Abuse,2,12,0,Clear,0,57.15488106186697,1
Downtown,40.71503336158697,-74.0052473405407,Verbal Abuse,2,5,1,Rain,0,76.89599781284748,1
Downtown,40.71272027358683,-73.9912005586111,Harassment,3,20,1,Clear,0,56.24991332541924,1
Downtown,40.73266136406227,-74.02123076238881,Verbal Abuse,2,13,0,Rain,0,79.79433927828825,1
Downtown,40.713076909316165,-74.00472634521464,Eve Teasing,2,14,0,Clear,0,53.64134502492753,1
Downtown,40.712386915694196,-74.0042603367083,Harassment,3,0,1,Clear,0,76.88801007652205,1
Downtown,40.71780917187625,-74.01577555244799,Stalking,4,19,1,Fog,0,74.07871947242428,1
Downtown,40.71774566602143,-73.99959417993051,Harassment,3,15,0,Clear,0,60.692076120773834,1
Downtown,40.7014085827141,-74.00332257334297,Eve Teasing,2,5,1,Rain,0,56.85215872009702,1
Downtown,40.69335060709629,-74.02000215551014,Eve Teasing,2,10,0,Clear,0,85.6704400175138,1
Downtown,40.71809804177916,-73.99158431379342,Indecent Exposure,4,17,0,Clear,0,67.2966246423314,1
Downtown,40.719238026017045,-73.99916038362525,Indecent Exposure,4,13,0,Rain,0,69.51515942018969,1
Downtown,40.71768044079379,-73.99019865904924,Stalking,4,21,1,Clear,0,63.55475914646095,1
Downtown,40.717554936414494,-74.01173753800308,Indecent Exposure,4,16,0,Fog,1,70.16124728577691,1
Downtown,40.72481213922164,-74.01008075373022,Sexual Assault,8,12,0,Clear,1,58.192557254294464,1
Downtown,40.72790803218115,-74.02460909880854,Verbal Abuse,2,15,0,Fog,0,41.73648286500223,0
Downtown,40.70395184058082,-74.00313058738776,Verbal Abuse,2,10,0,Clear,1,74.96940068278403,1
Downtown,40.71247669749075,-73.9977184650961,Sexual Assault,8,10,0,Rain,0,82.05824859337686,1
Downtown,40.717589798257464,-74.00266337894713,Stalking,4,15,0,Clear,0,75.0989496104966,1
Downtown,40.70346361890737,-73.97425557862873,Harassment,3,5,1,Clear,0,87.57198281093139,1
Downtown,40.72665903321291,-73.9959139705015,Robbery,3,8,0,Rain,1,66.82240604656653,1
Downtown,40.716064233650705,-74.01006944233872,Eve Teasing,2,15,0,Clear,1,63.880274794053825,1
Downtown,40.73725751979617,-74.00470778818024,Assault,5,22,1,Clear,0,50.47795956529102,1
Downtown,40.7258184916816,-74.01227418884378,Verbal Abuse,2,15,0,Clear,0,58.973521946946846,1
Downtown,40.73818691101738,-74.00076047332892,Eve Teasing,2,6,0,Fog,1,60.04610757068753,1
Downtown,40.72598838621091,-74.00810016698375,Robbery,3,10,0,Rain,0,69.75318860212306,1
Downtown,40.7094421530071,-73.9893097847471,Assault,5,21,1,Clear,0,55.52460212714088,1
Downtown,40.71557181579359,-74.01318303416171,Stalking,4,1,1,Fog,0,53.057295731542474,1
Downtown,40.70480889429175,-74.0076453565805,Assault,5,0,1,Rain,0,74.05887611490503,1
Downtown,40.69368746320106,-74.01167163167935,Robbery,3,8,0,Clear,0,51.37296396460021,1
Downtown,40.70567154217323,-74.00493569772308,Sexual Assault,8,8,0,Clear,0,76.28888743046907,1
Downtown,40.6771179470064,-74.00956532089944,Sexual Assault,8,15,0,Clear,0,59.362335578769645,1
Downtown,40.72113223877621,-74.0192653901611,Indecent Exposure,4,19,1,Fog,0,67.38296262121449,1
Downtown,40.723042865817796,-74.02222523630198,Eve Teasing,2,17,0,Snow,1,62.43182972074268,1
Downtown,40.7075547973372,-74.00110625438772,Verbal Abuse,2,14,0,Clear,0,68.40988352277134,1
Downtown,40.713415686206254,-74.02293266174709,Harassment,3,13,0,Rain,1,65.13000506495126,1
Downtown,40.69610220827932,-73.98835313065737,Assault,5,0,1,Clear,0,55.99467114812856,1
Downtown,40.723685402776226,-73.99414789708489,Assault,5,20,1,Rain,0,60.414881524735236,1
Downtown,40.70735080913191,-74.00200863885648,Harassment,3,11,0,Clear,1,58.29960806444653,1
Downtown,40.69937293441494,-73.98898570756474,Assault,5,13,0,Snow,0,64.35707312889502,1
Downtown,40.69991552620243,-74.00499182577747,Assault,5,14,0,Clear,0,65.87699482861736,1
Downtown,40.72639157627211,-74.00748696424112,Verbal Abuse,2,14,0,Fog,0,64.91763432937921,1
Downtown,40.71536029734314,-73.99617309016054,Sexual Assault,8,18,1,Clear,0,58.20758083286561,1
Downtown,40.7242306590289,-74.01018704840807,Eve Teasing,2,14,0,Clear,0,61.76734710703944,1
Downtown,40.698456350328414,-74.00018977990133,Assault,5,8,0,Rain,0,79.54927808325667,1
Downtown,40.72780971630564,-74.00727695850611,Robbery,3,18,1,Clear,1,72.48034725961725,1
Downtown,40.707043621737625,-74.00477990185355,Indecent Exposure,4,21,1,Rain,0,70.55145288711121,1
Downtown,40.709291346930264,-74.01645912668857,Sexual Assault,8,22,1,Clear,0,43.80642631961358,0
Downtown,40.71779737620112,-74.00067404890629,Robbery,3,14,0,Clear,0,47.19443316789518,0
Downtown,40.706855354518616,-74.00382492094306,Eve Teasing,2,22,1,Clear,0,74.85722716823564,1
Downtown,40.71839790447931,-73.99519219274445,Eve Teasing,2,13,0,Fog,1,84.45871284827683,1
Downtown,40.723086426303034,-74.00455062585219,Sexual Assault,8,14,0,Snow,1,78.5484517237325,1
Downtown,40.72098484734639,-74.00466152345754,Indecent Exposure,4,15,0,Fog,0,61.17516982541908,1
Downtown,40.70316192489903,-73.99943116633776,Sexual Assault,8,6,0,Rain,0,63.03997368757669,1
Downtown,40.71376120776941,-74.01062275288704,Eve Teasing,2,18,1,Clear,1,72.91649147922791,1
Downtown,40.725781777078346,-73.99155826921451,Stalking,4,13,0,Clear,1,39.7066256007534,0
Downtown,40.72147765024171,-74.00316967794605,Indecent Exposure,4,13,0,Rain,0,45.95487928134828,0
Downtown,40.70093664904779,-73.98002295356766,Assault,5,19,1,Clear,0,60.62334330197295,1
